path	line	enum	variant	role	declaration_path	declaration_line	resolution
stdlib/yaml/yaml.xr	616	YamlValue	Float	constructor	stdlib/yaml/yaml.xr	100	same-module
stdlib/yaml/yaml.xr	619	YamlValue	Integer	constructor	stdlib/yaml/yaml.xr	99	same-module
stdlib/yaml/yaml.xr	622	YamlValue	String	constructor	stdlib/yaml/yaml.xr	101	same-module
stdlib/yaml/yaml.xr	735	YamlValue	String	constructor	stdlib/yaml/yaml.xr	101	same-module
stdlib/yaml/yaml.xr	745	YamlValue	Sequence	constructor	stdlib/yaml/yaml.xr	103	same-module
stdlib/yaml/yaml.xr	761	YamlValue	Sequence	constructor	stdlib/yaml/yaml.xr	103	same-module
stdlib/yaml/yaml.xr	770	YamlValue	Mapping	constructor	stdlib/yaml/yaml.xr	104	same-module
stdlib/yaml/yaml.xr	791	YamlValue	Mapping	constructor	stdlib/yaml/yaml.xr	104	same-module
stdlib/yaml/yaml.xr	936	YamlValue	String	constructor	stdlib/yaml/yaml.xr	101	same-module
stdlib/yaml/yaml.xr	971	YamlValue	Mapping	constructor	stdlib/yaml/yaml.xr	104	same-module
stdlib/yaml/yaml.xr	979	YamlValue	Mapping	constructor	stdlib/yaml/yaml.xr	104	same-module
stdlib/yaml/yaml.xr	984	YamlValue	String	constructor	stdlib/yaml/yaml.xr	101	same-module
stdlib/yaml/yaml.xr	1016	YamlValue	Mapping	constructor	stdlib/yaml/yaml.xr	104	same-module
stdlib/yaml/yaml.xr	1055	YamlValue	Sequence	constructor	stdlib/yaml/yaml.xr	103	same-module
stdlib/yaml/yaml.xr	1256	YamlError	Parse	constructor	stdlib/yaml/yaml.xr	133	same-module
stdlib/yaml/yaml.xr	1266	YamlError	Parse	constructor	stdlib/yaml/yaml.xr	133	same-module
stdlib/yaml/yaml.xr	1309	YamlError	Io	constructor	stdlib/yaml/yaml.xr	134	same-module
tests/aot/basic/adt_match_static_tag_payload.xr	8	FastResult	Ok	constructor	tests/aot/basic/adt_match_static_tag_payload.xr	2	same-module
tests/aot/basic/adt_match_static_tag_payload.xr	10	FastResult	Err	constructor	tests/aot/basic/adt_match_static_tag_payload.xr	3	same-module
tests/aot/basic/defer_block_scope.xr	8	BlockErr	Msg	constructor	tests/aot/basic/defer_block_scope.xr	4	same-module
tests/aot/basic/generic_enum_tuple_payload.xr	9	DecodeResult	Ok	constructor	tests/aot/basic/generic_enum_tuple_payload.xr	4	same-module
tests/aot/basic/try_catch.xr	21	AppErr	Bad	constructor	tests/aot/basic/try_catch.xr	5	same-module
tests/aot/basic/try_catch.xr	33	AppErr	Bad	constructor	tests/aot/basic/try_catch.xr	5	same-module
tests/aot/coro/scope.xr	20	ScopeAotErr	Msg	constructor	tests/aot/coro/scope.xr	11	same-module
tests/aot/filetests/cgen/_imported_enum_guard_lib.xr	6	ImportedGuardError	Failed	constructor	tests/aot/filetests/cgen/_imported_enum_guard_lib.xr	2	same-module
tests/aot/filetests/cgen/adt_match_multi_payload_aggregate.xr	7	PairResult	Pair	constructor	tests/aot/filetests/cgen/adt_match_multi_payload_aggregate.xr	2	same-module
tests/aot/filetests/cgen/adt_match_static_tag_payload.xr	8	FastResult	Ok	constructor	tests/aot/filetests/cgen/adt_match_static_tag_payload.xr	2	same-module
tests/aot/filetests/cgen/adt_match_static_tag_payload.xr	10	FastResult	Err	constructor	tests/aot/filetests/cgen/adt_match_static_tag_payload.xr	3	same-module
tests/aot/filetests/cgen/adt_payload_class_exact_type_check.xr	15	Payload	Item	constructor	tests/aot/filetests/cgen/adt_payload_class_exact_type_check.xr	10	same-module
tests/aot/filetests/cgen/adt_print_multi_payload_boxed.xr	7	PairResult	Pair	constructor	tests/aot/filetests/cgen/adt_print_multi_payload_boxed.xr	2	same-module
tests/aot/filetests/cgen/coro_transitive_enum_owned_result.xr	24	Outcome	Echo	constructor	tests/aot/filetests/cgen/coro_transitive_enum_owned_result.xr	10	same-module
tests/aot/filetests/cgen/map_get_payload_enum_direct_return.xr	11	Item	Number	constructor	tests/aot/filetests/cgen/map_get_payload_enum_direct_return.xr	3	same-module
tests/aot/filetests/link/core_language_runtime_boundary.xr	10	LangErr	Msg	constructor	tests/aot/filetests/link/core_language_runtime_boundary.xr	2	same-module
tests/aot/filetests/link/freestanding_enum_payload_error_channel.xr	12	FsErr	Bad	constructor	tests/aot/filetests/link/freestanding_enum_payload_error_channel.xr	2	same-module
tests/aot/filetests/link/freestanding_enum_payload_untyped_catch_reject.xr	7	FsErr	Bad	constructor	tests/aot/filetests/link/freestanding_enum_payload_untyped_catch_reject.xr	2	same-module
tests/aot/filetests/link/freestanding_enum_payload_value.xr	8	FastResult	Ok	constructor	tests/aot/filetests/link/freestanding_enum_payload_value.xr	2	same-module
tests/aot/filetests/link/freestanding_enum_payload_value.xr	10	FastResult	Err	constructor	tests/aot/filetests/link/freestanding_enum_payload_value.xr	3	same-module
tests/aot/modules/enum_payload_import_dep.xr	19	SharedResult	Ok	constructor	tests/aot/modules/enum_payload_import_dep.xr	9	same-module
tests/aot/modules/enum_payload_import_dep.xr	19	SharedResult	Err	constructor	tests/aot/modules/enum_payload_import_dep.xr	10	same-module
tests/aot/modules/enum_payload_import_dep.xr	19	SharedError	Invalid	constructor	tests/aot/modules/enum_payload_import_dep.xr	3	same-module
tests/aot/modules/enum_payload_import_dep.xr	24	MirroredResult	Ok	constructor	tests/aot/modules/enum_payload_import_dep.xr	14	same-module
tests/aot/modules/enum_payload_import_dep.xr	25	MirroredResult	Err	constructor	tests/aot/modules/enum_payload_import_dep.xr	15	same-module
tests/aot/modules/enum_result_lib.xr	10	FastResult	Ok	constructor	tests/aot/modules/enum_result_lib.xr	4	same-module
tests/aot/modules/enum_result_lib.xr	12	FastResult	Err	constructor	tests/aot/modules/enum_result_lib.xr	5	same-module
tests/aot/modules/reexport_enum_error_lib.xr	6	ReexportError	Invalid	constructor	tests/aot/modules/reexport_enum_error_lib.xr	2	same-module
tests/aot/negative/coro_try_catch.xr	9	AppErr	Bad	constructor	tests/aot/negative/coro_try_catch.xr	2	same-module
tests/builtin_probes/error.xr	5	ProbeErr	Failed	constructor	tests/builtin_probes/error.xr	1	same-module
tests/compile_errors/type/097_enum_payload_constructor_arg_type.xr	6	Result	Ok	constructor	tests/compile_errors/type/097_enum_payload_constructor_arg_type.xr	2	same-module
tests/compile_errors/type/span_enum_payload_escape.xr	8	Hold	Slice	constructor	tests/compile_errors/type/span_enum_payload_escape.xr	2	same-module
tests/coroutine_safety/11_monitoring_debug.xr	122	MonDebugErr	Msg	constructor	tests/coroutine_safety/11_monitoring_debug.xr	11	same-module
tests/diff/cases/match/adt_enum_nonpayload_variant.xr	30	Shape	Circle	constructor	tests/diff/cases/match/adt_enum_nonpayload_variant.xr	12	same-module
tests/diff/cases/match/adt_enum_nonpayload_variant.xr	30	Shape	Square	constructor	tests/diff/cases/match/adt_enum_nonpayload_variant.xr	13	same-module
tests/diff/cases/match/adt_enum_nonpayload_variant.xr	45	Shape	Circle	constructor	tests/diff/cases/match/adt_enum_nonpayload_variant.xr	12	same-module
tests/diff/cases/match/adt_enum_nonpayload_variant.xr	47	Shape	Square	constructor	tests/diff/cases/match/adt_enum_nonpayload_variant.xr	13	same-module
tests/diff/cases/match/adt_enum_payload_tostring.xr	15	E	A	constructor	tests/diff/cases/match/adt_enum_payload_tostring.xr	11	same-module
tests/diff/cases/match/adt_enum_payload_tostring.xr	34	P	Pair	constructor	tests/diff/cases/match/adt_enum_payload_tostring.xr	12	same-module
tests/diff/cases/match/adt_enum_payload_tostring.xr	39	W	Wrap	constructor	tests/diff/cases/match/adt_enum_payload_tostring.xr	13	same-module
tests/diff/cases/match/adt_enum_payload_tostring.xr	39	E	A	constructor	tests/diff/cases/match/adt_enum_payload_tostring.xr	11	same-module
tests/diff/cases/match/adt_enum_payload_tostring.xr	53	P	Pair	constructor	tests/diff/cases/match/adt_enum_payload_tostring.xr	12	same-module
tests/diff/cases/semantics/cleanup/defer_block_scope_exits.xr	11	BlockErr	Msg	constructor	tests/diff/cases/semantics/cleanup/defer_block_scope_exits.xr	7	same-module
tests/diff/cases/semantics/cleanup/defer_error_absorbed_inside_body.xr	10	CleanupErr	Failed	constructor	tests/diff/cases/semantics/cleanup/defer_error_absorbed_inside_body.xr	6	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	8	E	A	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	4	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	8	E	A	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	4	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	9	E	A	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	4	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	9	E	A	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	4	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	10	E	B	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	4	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	10	E	B	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	4	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	11	E	B	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	4	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	11	E	B	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	4	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	12	E	A	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	4	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	15	K	Id	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	5	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	16	K	Id	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	5	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	18	K	Id	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	5	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	19	K	Id	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	5	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	22	K	Id	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	5	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	23	K	Id	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	5	same-module
tests/diff/cases/semantics/collections/enum_payload_equality.xr	24	K	Id	constructor	tests/diff/cases/semantics/collections/enum_payload_equality.xr	5	same-module
tests/diff/cases/semantics/coro/coroutine_throws_unit_variant.xr	11	E2	Code	constructor	tests/diff/cases/semantics/coro/coroutine_throws_unit_variant.xr	14	same-module
tests/diff/cases/semantics/coro/scope_child_failure_isolation.xr	10	DiffScopeErr	Msg	constructor	tests/diff/cases/semantics/coro/scope_child_failure_isolation.xr	1	same-module
tests/diff/cases/semantics/coro/task_result_failed_error_value.xr	4	TaskResultErr	Msg	constructor	tests/diff/cases/semantics/coro/task_result_failed_error_value.xr	1	same-module
tests/diff/cases/semantics/exception/array_class_throw_cleanup_lifetime.xr	15	ParseError	Invalid	constructor	tests/diff/cases/semantics/exception/array_class_throw_cleanup_lifetime.xr	3	same-module
tests/diff/cases/semantics/exception/nested_defer.xr	11	AppErr	Msg	constructor	tests/diff/cases/semantics/exception/nested_defer.xr	5	same-module
tests/diff/cases/semantics/exception/pattern_catch.xr	16	PayloadErr	Payload	constructor	tests/diff/cases/semantics/exception/pattern_catch.xr	5	same-module
tests/diff/cases/semantics/exception/try_catch.xr	7	AppErr	Msg	constructor	tests/diff/cases/semantics/exception/try_catch.xr	3	same-module
tests/diff/cases/semantics/exception/uncaught_top_level_error.xr	10	TopErr	Failed	constructor	tests/diff/cases/semantics/exception/uncaught_top_level_error.xr	7	same-module
tests/diff/cases/semantics/generator/iterator_error_beats_exhaustion.xr	13	GenErr	Msg	constructor	tests/diff/cases/semantics/generator/iterator_error_beats_exhaustion.xr	8	same-module
