path	line	enum	variant	role	declaration_path	declaration_line	resolution
tests/regression/09_advanced/0953_typed_multi_catch.xr	110	CatchErr	Msg	pattern-direct	tests/regression/09_advanced/0953_typed_multi_catch.xr	6	same-module
tests/regression/09_advanced/0953_typed_multi_catch.xr	125	CatchErr	Msg	pattern-direct	tests/regression/09_advanced/0953_typed_multi_catch.xr	6	same-module
tests/regression/09_advanced/0953_typed_multi_catch.xr	130	CatchErr	Msg	pattern-direct	tests/regression/09_advanced/0953_typed_multi_catch.xr	6	same-module
tests/regression/09_advanced/0953_typed_multi_catch.xr	143	CatchErr	Msg	pattern-direct	tests/regression/09_advanced/0953_typed_multi_catch.xr	6	same-module
tests/regression/09_advanced/0953_typed_multi_catch.xr	157	CatchErr	Msg	pattern-direct	tests/regression/09_advanced/0953_typed_multi_catch.xr	6	same-module
tests/regression/09_advanced/0959_try_force.xr	50	ForceErr	Msg	pattern-direct	tests/regression/09_advanced/0959_try_force.xr	7	same-module
tests/regression/09_advanced/0959_try_force.xr	68	ForceErr	Msg	pattern-direct	tests/regression/09_advanced/0959_try_force.xr	7	same-module
tests/regression/10_stdlib/1036_cross_module_generic_enum.xr	12	Result	Ok	pattern-direct	tests/regression/10_stdlib/modules/generic_result_lib.xr	6	import->module-export
tests/regression/10_stdlib/1036_cross_module_generic_enum.xr	15	Result	Err	pattern-direct	tests/regression/10_stdlib/modules/generic_result_lib.xr	7	import->module-export
tests/regression/10_stdlib/1101_regex_engine.xr	729	RegexError	InvalidPattern	pattern-direct	stdlib/regex/regex.xr	1743	import->module-export
tests/regression/10_stdlib/1305_csv_basic.xr	59	CsvError	FieldCountMismatch	pattern-direct	stdlib/csv/csv.xr	51	import->module-export
tests/regression/10_stdlib/1305_csv_basic.xr	139	CsvError	ColumnLimitExceeded	pattern-direct	stdlib/csv/csv.xr	48	import->module-export
tests/regression/10_stdlib/1309_xml_advanced.xr	8	XmlNode	Document	pattern-direct	stdlib/xml/xml.xr	42	import->module-export
tests/regression/10_stdlib/1309_xml_advanced.xr	9	XmlNode	Element	pattern-direct	stdlib/xml/xml.xr	43	import->module-export
tests/regression/10_stdlib/1309_xml_advanced.xr	10	XmlNode	Text	pattern-direct	stdlib/xml/xml.xr	44	import->module-export
tests/regression/10_stdlib/1309_xml_advanced.xr	11	XmlNode	Comment	pattern-direct	stdlib/xml/xml.xr	45	import->module-export
tests/regression/10_stdlib/1309_xml_advanced.xr	12	XmlNode	CData	pattern-direct	stdlib/xml/xml.xr	46	import->module-export
tests/regression/10_stdlib/1309_xml_advanced.xr	13	XmlNode	ProcessingInstruction	pattern-direct	stdlib/xml/xml.xr	47	import->module-export
tests/regression/10_stdlib/1411_url_parse.xr	205	UrlError	InvalidPercentEncoding	pattern-direct	stdlib/url/url.xr	10	import->module-export
tests/regression/10_stdlib/1502_http_request_options.xr	9	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
