tree	path	start_codepoint	end_codepoint	line	receiver	variant	role	disposition	declaration_path	declaration_line	enum	resolution	review	evidence	source_sha256
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	70461	70496	2204	Http2Error	CompressionError	pattern-direct	ACCEPT	stdlib/http2/http2.xr	115	Http2Error	import->module-export	reviewed	payload declaration stdlib/http2/http2.xr:115	31e3a16681235bdbceb2b7ebc0a8186692d0debb1506376d150372be2c140b70
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	70509	70540	2204	HttpError	ProtocolError	constructor	ACCEPT	stdlib/http/http.xr	1247	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1247	7307d672ac736e4c27bed5c92c0a1bb5ae3f0014ce854b0d2d744d290405a32d
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	70551	70586	2205	Http2Error	ConnectionFailed	pattern-direct	ACCEPT	stdlib/http2/http2.xr	110	Http2Error	import->module-export	reviewed	payload declaration stdlib/http2/http2.xr:110	2924bbff4f0b09c08ed1610a0e836a718cad8cf9e45ae5987c3251020952b81e
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	70599	70633	2205	HttpError	ConnectionFailed	constructor	ACCEPT	stdlib/http/http.xr	1246	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1246	02b96d234544d3d1330887516fe0d84f38f50f591d68b7528b434dc2af2aa998
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	70682	70729	2206	HttpError	UnsupportedVersion	constructor	ACCEPT	stdlib/http/http.xr	1249	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1249	086191395e671c5e5c369b17588ad2b290741788edc272bd5b58306d58cddbf4
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	70892	70925	2213	HttpError	InvalidUrl	constructor	ACCEPT	stdlib/http/http.xr	1245	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1245	cd5fa7a0f389b3d46f8fa4630aed76b4d3f395badc9e76b6a945d7c438ce09bb
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	72125	72156	2240	HttpError	InvalidUrl	constructor	ACCEPT	stdlib/http/http.xr	1245	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1245	d06ae37b62a72467ae124e4571000064abffbaa6abce7e4c7c3492e2d9a763b9
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	72383	72416	2248	HttpError	InvalidUrl	constructor	ACCEPT	stdlib/http/http.xr	1245	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1245	cd5fa7a0f389b3d46f8fa4630aed76b4d3f395badc9e76b6a945d7c438ce09bb
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http2/http2.xr	8725	8785	216	Http2Error	ProtocolError	constructor	ACCEPT	stdlib/http2/http2.xr	107	Http2Error	same-module	reviewed	payload declaration stdlib/http2/http2.xr:107	5f2dabf910daf60a6549127f35d37d0bd127898ab1f06b01d160bb575f928fa1
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http2/http2.xr	8843	8911	219	Http2Error	ProtocolError	constructor	ACCEPT	stdlib/http2/http2.xr	107	Http2Error	same-module	reviewed	payload declaration stdlib/http2/http2.xr:107	e31016dff07a8772a5f30aee9a5c7aeb22159f21db72adca03283b654b255ee7
